Unnamed: 0,HLM002,HLM004,HLM007,HLM009,HLM010,HLM013,HLM014,HLM016,HLM017,HLM018,HLM025,HLM035,HLM036,HLM042,HLM044,HLM044.1,HLM048,HLM049,HLM051,HLM052,HLM057,HLM059,HLM062,HLM062.1,HLM063,HLM065,HLM067,HLM068,HLM069,HLM072,HLM073,HLM074,HLM074.1,HLM075,HLM076,HLM078,HLM080,HLM081,HLM082,HLM083,HLM085,HLM086,HLM087,HLM090,HLM096,HLM097,HLM097.1,HLM100,HLM109,HLM110,HLM112,HLM114,HLM116,HLM118,HLM119,HLM120,HLM122,HLM123,HLM124,HLM127,HLM130,HLM132,HLM135,HLM136,HLM137,HLM138,HLM140,HLM141,HLM142,HLM143,HLM144,HLM145,HLM146,HLM147,HLM148,HLM152,HLM155,HLM157,HLM161,HLM162,HLM163,HLM165,HLM166,HLM171,HLM172,HLM173,HLM174,HLM175,HLM176,HLM178,HLM179,HLM180,HLM183,HLM184,HLM184.1,HLM186,HLM187,HLM188,HLM189,HLM190
ENSG00000279928,34,60,0,0,1,15,0,0,9,133,7,0,34,24,5,0,17,0,1,2,52,5,9,11,38,2,0,7,6,0,49,0,17,16,0,0,14,10,44,0,0,0,6,12,68,16,5,5,65,4,0,0,0,1,0,50,14,0,7,9,8,8,21,0,7,89,38,22,0,0,10,5,0,11,39,4,0,8,8,45,0,0,29,21,3,4,30,0,0,10,13,36,0,0,0,0,14,0,0,19
ENSG00000279928,38,9,61,0,11,0,0,16,1,0,0,0,0,32,0,3,20,0,0,1,18,12,8,23,9,6,6,11,7,7,0,0,54,20,3,9,0,69,35,71,0,4,10,1,69,0,0,3,16,0,17,57,0,4,4,0,8,1,41,15,35,16,14,13,32,55,0,0,21,0,2,13,0,5,0,0,27,15,8,73,14,0,8,0,14,0,10,0,0,0,28,34,95,78,13,21,0,15,0,18
ENSG00000284616,0,2,121,6,0,7,1,20,8,0,0,62,80,35,0,2,12,0,4,0,78,10,2,0,4,7,9,26,2,11,24,64,0,0,6,4,4,17,57,1,0,2,4,14,0,12,0,0,25,0,3,68,0,13,1,11,38,0,0,1,53,11,10,7,0,70,18,33,0,51,0,0,34,0,22,22,0,93,0,0,6,28,10,33,0,0,9,21,12,15,3,40,76,6,0,37,37,23,1,25
ENSG00000157911,0,0,88,0,0,7,0,28,3,142,0,9,7,0,3,0,12,57,2,3,15,2,1,0,0,8,2,9,1,16,8,70,0,0,6,0,0,0,0,16,16,12,0,14,54,19,16,8,30,1,37,1,17,29,0,81,26,2,2,0,0,0,24,5,17,0,10,50,0,23,9,17,21,0,78,28,0,32,1,9,4,53,6,0,1,14,8,58,0,6,19,43,132,34,31,32,0,4,0,17
ENSG00000142611,16,0,0,7,32,23,0,0,6,41,10,47,72,25,11,4,0,52,4,3,16,3,0,27,3,7,0,0,10,0,19,121,30,0,3,4,0,0,54,0,2,12,9,0,63,7,0,7,85,0,1,11,0,2,0,23,0,0,0,0,28,14,13,0,11,0,30,15,0,0,0,4,11,0,14,16,29,27,7,0,8,40,0,0,23,23,20,0,15,18,15,36,0,75,13,21,31,11,16,0
ENSG00000284616,16,43,9,0,32,0,0,0,18,0,0,98,104,0,0,0,13,0,3,2,0,3,3,1,28,8,0,24,2,12,18,0,32,0,4,12,3,44,0,41,6,0,0,47,53,0,0,7,110,2,40,37,9,0,0,0,21,2,0,0,0,0,0,9,0,4,33,0,11,28,0,16,22,5,3,12,69,45,7,88,8,34,33,18,0,0,0,0,0,14,0,49,153,50,8,0,0,7,1,31
ENSG00000157911,0,27,90,30,32,0,3,22,10,68,0,100,57,30,2,7,12,66,0,0,8,9,6,0,21,12,0,4,0,12,0,0,2,8,13,4,0,12,9,0,0,7,13,24,0,42,0,1,72,0,2,11,0,14,5,63,35,0,10,0,0,6,2,16,29,116,6,31,0,0,1,19,26,0,0,0,10,94,0,36,2,0,0,0,7,20,2,3,0,0,19,7,0,0,15,0,30,0,43,30
ENSG00000142611,48,0,18,16,25,0,3,9,0,70,0,0,150,0,5,0,10,0,0,0,8,11,6,0,61,13,10,37,6,0,6,0,0,0,0,18,0,85,11,23,8,0,15,25,0,15,0,0,79,3,0,0,29,9,0,0,23,0,1,0,24,7,16,12,0,13,40,0,47,0,5,17,31,6,64,2,28,5,26,0,6,31,0,3,3,26,11,27,24,0,0,13,96,139,0,19,0,0,35,0
ENSG00000157911,0,16,0,10,1,30,0,4,0,84,5,142,0,0,2,0,0,14,4,2,11,1,0,0,19,0,2,13,0,0,30,69,16,69,7,6,13,44,9,39,6,0,0,20,0,12,27,8,54,0,0,3,0,0,0,59,18,3,43,15,0,0,11,4,22,20,29,39,30,26,2,0,0,7,0,10,37,29,16,0,9,21,22,0,0,32,8,24,0,10,24,38,40,19,2,20,43,20,0,0
ENSG00000279928,0,0,0,4,0,19,0,9,5,0,2,0,88,35,0,0,0,0,2,0,32,6,0,27,26,3,7,1,6,11,59,36,36,0,8,0,20,62,41,7,12,0,5,44,109,16,0,6,3,0,0,15,0,18,2,80,16,0,6,1,70,0,23,0,0,35,47,47,54,0,1,5,8,14,51,22,53,0,5,0,6,24,4,56,4,18,3,0,11,1,6,4,0,39,24,0,20,14,0,16
